model,setting,accuracy,precision,recall,f1
DecisionTree,max_depth=3,0.9385964912280702,0.9452054794520548,0.9583333333333334,0.9517241379310345
DecisionTree,max_depth=5,0.9210526315789473,0.9565217391304348,0.9166666666666666,0.9361702127659575
DecisionTree,max_depth=None,0.9122807017543859,0.9558823529411765,0.9027777777777778,0.9285714285714286
DecisionTree,max_depth=7,0.9122807017543859,0.9558823529411765,0.9027777777777778,0.9285714285714286
DecisionTree,max_depth=10,0.9122807017543859,0.9558823529411765,0.9027777777777778,0.9285714285714286
KNN,n_neighbors=3,0.9824561403508771,0.972972972972973,1.0,0.9863013698630136
KNN,n_neighbors=7,0.9736842105263158,0.96,1.0,0.9795918367346939
KNN,n_neighbors=9,0.9736842105263158,0.96,1.0,0.9795918367346939
KNN,n_neighbors=11,0.9736842105263158,0.96,1.0,0.9795918367346939
KNN,n_neighbors=5,0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104
RandomForest,n_estimators=100|max_depth=None|min_samples_split=2,0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104
RandomForest,n_estimators=100|max_depth=5|min_samples_split=2,0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104
RandomForest,n_estimators=100|max_depth=10|min_samples_split=2,0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104
RandomForest,n_estimators=100|max_depth=None|min_samples_split=4,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334
RandomForest,n_estimators=100|max_depth=10|min_samples_split=4,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334
